157.00,130.00,128
147.00,112.00,148
129.00,141.00,126
142.00,107.00,123
85.00,102.00,133
80.00,120.00,120
117.00,101.00,142
80.00,116.00,126
136.00,104.00,121
105.00,102.00,135
100.00,128.00,138
141.00,134.00,132
150.00,112.00,124
130.00,102.00,128
106.00,100.00,136
79.00,130.00,120
123.00,100.00,135
80.00,116.00,136
102.00,98.00,123
142.00,111.00,128
83.00,110.00,123
118.00,104.00,142
87.00,128.00,138
88.00,133.00,127
129.00,103.00,135
81.00,109.00,133
152.00,117.00,130
88.00,100.00,124
139.00,110.00,146
114.00,141.00,143
149.00,134.00,141
129.00,138.00,141
148.00,135.00,122
132.00,105.00,125
123.00,106.00,138
153.00,132.00,125
143.00,106.00,121
147.00,112.00,129
157.00,127.00,126
150.00,110.00,121
145.00,108.00,124
153.00,117.00,125
148.00,110.00,123
154.00,118.00,127
158.00,123.00,122
159.00,125.00,126
158.00,123.00,129
158.00,120.00,129
147.00,115.00,139
157.00,130.00,130
159.00,135.00,131
159.00,132.00,133
156.00,124.00,126
131.00,104.00,128
94.00,96.00,141
144.00,136.00,133
157.00,125.00,135
158.00,127.00,122
111.00,105.00,140
97.00,104.00,139
159.00,128.00,123
150.00,113.00,124
116.00,100.00,140
77.00,110.00,127
153.00,115.00,122
108.00,104.00,141
93.00,130.00,132
82.00,105.00,127
156.00,130.00,128
156.00,114.00,124
151.00,135.00,132
158.00,124.00,123
111.00,102.00,131
104.00,103.00,128
92.00,109.00,137
157.00,130.00,124
140.00,109.00,124
105.00,104.00,133
87.00,107.00,125
160.00,119.00,124
85.00,104.00,122
131.00,100.00,135
76.00,120.00,125
101.00,106.00,142
106.00,133.00,140
151.00,135.00,128
155.00,118.00,128
149.00,103.00,125
149.00,116.00,127
142.00,111.00,122
92.00,105.00,128
88.00,109.00,124
127.00,102.00,129
95.00,102.00,128
149.00,102.00,131
121.00,99.00,134
151.00,118.00,128
159.00,124.00,134
93.00,107.00,123
132.00,103.00,127
77.00,129.00,142
147.00,130.00,123
150.00,115.00,124
101.00,100.00,140
86.00,128.00,138
78.00,109.00,144
89.00,128.00,124
76.00,120.00,129
90.00,107.00,125
157.00,121.00,130
115.00,105.00,147
104.00,133.00,146
93.00,131.00,126
99.00,105.00,131
149.00,122.00,136
81.00,108.00,137
158.00,122.00,126
89.00,111.00,123
147.00,108.00,130
92.00,109.00,127
77.00,113.00,122
116.00,99.00,124
103.00,103.00,145
108.00,139.00,142
151.00,136.00,126
159.00,125.00,126
112.00,102.00,133
79.00,119.00,129
156.00,114.00,123
110.00,103.00,145
102.00,131.00,146
112.00,132.00,145
90.00,129.00,119
104.00,102.00,147
89.00,113.00,131
152.00,116.00,125
89.00,104.00,123
98.00,105.00,124
108.00,104.00,146
112.00,139.00,140
123.00,139.00,134
153.00,122.00,128
85.00,103.00,125
150.00,116.00,134
110.00,104.00,126
111.00,106.00,132
79.00,104.00,123
157.00,112.00,140
77.00,114.00,122
123.00,103.00,138
78.00,113.00,132
158.00,125.00,128
105.00,102.00,146
88.00,128.00,139
90.00,111.00,121
94.00,105.00,122
154.00,120.00,128
80.00,116.00,121
107.00,98.00,125
139.00,106.00,145
102.00,133.00,134
158.00,129.00,124
140.00,108.00,136
81.00,110.00,135
154.00,121.00,125
149.00,111.00,135
80.00,124.00,122
135.00,105.00,136
87.00,107.00,127
89.00,110.00,137
154.00,132.00,124
118.00,105.00,145
117.00,138.00,126
146.00,107.00,124
117.00,98.00,124
156.00,118.00,125
109.00,102.00,142
77.00,120.00,124
133.00,109.00,124
118.00,100.00,123
90.00,110.00,120
120.00,99.00,125
106.00,98.00,125
121.00,104.00,129
80.00,104.00,130
158.00,117.00,119
96.00,100.00,122
133.00,108.00,140
82.00,125.00,131
90.00,106.00,123
136.00,109.00,132
94.00,105.00,130
157.00,125.00,131
80.00,118.00,133
79.00,109.00,128
84.00,103.00,132
88.00,109.00,135
90.00,102.00,129
82.00,114.00,138
87.00,110.00,130
82.00,106.00,145
78.00,111.00,128
88.00,109.00,145
81.00,125.00,143
153.00,130.00,120
104.00,100.00,145
100.00,134.00,132
151.00,120.00,121
121.00,105.00,137
76.00,125.00,126
105.00,98.00,128
98.00,104.00,121
140.00,107.00,145
90.00,124.00,125
114.00,100.00,147
108.00,135.00,136
160.00,125.00,123
116.00,101.00,145
99.00,134.00,121
132.00,100.00,140
77.00,130.00,136
79.00,120.00,126
139.00,109.00,145
89.00,126.00,125
144.00,117.00,132
95.00,101.00,134
135.00,116.00,131
91.00,107.00,137
159.00,135.00,126
94.00,97.00,145
118.00,140.00,124
128.00,98.00,124
148.00,115.00,130
78.00,116.00,122
109.00,101.00,132
77.00,112.00,126
91.00,107.00,128
78.00,122.00,143
88.00,106.00,133
77.00,116.00,144
78.00,110.00,133
85.00,110.00,134
120.00,100.00,146
141.00,135.00,126
156.00,125.00,133
87.00,105.00,123
100.00,98.00,134
139.00,113.00,132
81.00,123.00,120
142.00,108.00,121
107.00,100.00,146
79.00,121.00,126
86.00,104.00,126
142.00,107.00,124
96.00,107.00,123
150.00,113.00,139
81.00,114.00,128
95.00,96.00,128
136.00,106.00,142
77.00,105.00,127
136.00,103.00,141
86.00,135.00,139
77.00,114.00,128
80.00,112.00,131
104.00,103.00,140
146.00,130.00,124
107.00,102.00,130
95.00,99.00,144
106.00,131.00,146
103.00,132.00,143
138.00,133.00,126
142.00,108.00,129
114.00,102.00,130
81.00,117.00,128
82.00,108.00,123
125.00,99.00,134
154.00,120.00,129
159.00,129.00,126
153.00,125.00,127
158.00,121.00,124
101.00,104.00,134
110.00,98.00,130
157.00,113.00,123
106.00,102.00,130
95.00,104.00,132
158.00,122.00,123
139.00,104.00,133
84.00,111.00,128
151.00,117.00,125
122.00,99.00,132
158.00,127.00,128
157.00,126.00,130
156.00,130.00,128
153.00,116.00,128
121.00,97.00,136
148.00,107.00,133
153.00,121.00,127
152.00,112.00,124
92.00,114.00,129
152.00,131.00,125
145.00,110.00,133
88.00,103.00,124
150.00,116.00,122
124.00,103.00,131
90.00,101.00,122
126.00,103.00,122
87.00,112.00,129
106.00,97.00,120
144.00,109.00,143
78.00,127.00,124
81.00,107.00,132
96.00,104.00,132
133.00,136.00,126
135.00,101.00,125
125.00,103.00,144
121.00,138.00,147
104.00,134.00,146
99.00,127.00,131
106.00,101.00,135
83.00,117.00,123
87.00,103.00,125
130.00,100.00,132
77.00,128.00,132
90.00,105.00,123
138.00,105.00,134
76.00,112.00,126
144.00,115.00,145
78.00,115.00,123
141.00,110.00,141
82.00,110.00,123
123.00,106.00,128
95.00,111.00,128
90.00,102.00,125
124.00,107.00,142
90.00,125.00,127
93.00,109.00,130
91.00,108.00,129
103.00,95.00,129
102.00,103.00,143
154.00,133.00,121
140.00,106.00,140
81.00,108.00,126
142.00,112.00,125
87.00,110.00,122
117.00,100.00,142
108.00,136.00,132
156.00,127.00,121
123.00,105.00,134
78.00,120.00,123
156.00,126.00,123
139.00,110.00,128
143.00,106.00,124
99.00,103.00,128
148.00,114.00,123
105.00,106.00,126
88.00,105.00,136
158.00,124.00,125
117.00,102.00,127
110.00,99.00,126
158.00,127.00,124
146.00,118.00,121
124.00,105.00,125
126.00,104.00,131
87.00,110.00,131
142.00,104.00,124
96.00,99.00,145
130.00,143.00,125
132.00,104.00,125
119.00,103.00,138
98.00,105.00,124
136.00,106.00,126
79.00,108.00,126
91.00,110.00,120
105.00,101.00,135
157.00,127.00,124
107.00,100.00,141
156.00,127.00,122
113.00,98.00,130
131.00,141.00,127
143.00,106.00,126
126.00,100.00,146
89.00,127.00,140
96.00,131.00,146
85.00,131.00,130
77.00,106.00,121
106.00,104.00,134
159.00,123.00,128
134.00,102.00,139
88.00,122.00,134
73.00,120.00,143
146.00,128.00,142
157.00,122.00,133
151.00,106.00,141
139.00,100.00,138
153.00,119.00,136
0,133.00,141
158.00,120.00,143
146.00,128.00,142
157.00,122.00,133
151.00,106.00,141
139.00,100.00,138
153.00,119.00,136
158.00,120.00,143
146.00,128.00,142
157.00,122.00,133
151.00,106.00,141
139.00,100.00,138
153.00,119.00,136
143.00,99.00,141
140.00,132.00,138
154.00,108.00,143
159.00,119.00,145
155.00,125.00,143
148.00,131.00,138
157.00,125.00,139
157.00,114.00,134
154.00,127.00,142
145.00,102.00,127
93.00,102.00,144
145.00,125.00,145
158.00,120.00,142
157.00,120.00,145
132.00,132.00,143
128.00,129.00,144
158.00,108.00,144
144.00,129.00,127
140.00,101.00,134
83.00,135.00,125
78.00,116.00,144
159.00,122.00,134
154.00,109.00,132
127.00,100.00,125
91.00,115.00,143
158.00,123.00,130
105.00,101.00,127
76.00,136.00,133
121.00,102.00,130
126.00,102.00,136
150.00,108.00,125
113.00,103.00,123
78.00,123.00,143
156.00,125.00,134
101.00,106.00,123
77.00,125.00,123
150.00,106.00,124
80.00,110.00,139
158.00,120.00,142
156.00,103.00,121
101.00,102.00,123
82.00,113.00,144
138.00,130.00,142
158.00,116.00,142
160.00,126.00,141
159.00,119.00,143
158.00,123.00,136
140.00,97.00,134
89.00,133.00,122
106.00,100.00,132
100.00,133.00,143
147.00,103.00,145
159.00,119.00,147
142.00,131.00,146
129.00,135.00,142
139.00,133.00,144
123.00,133.00,133
140.00,103.00,126
100.00,106.00,140
156.00,112.00,146
146.00,134.00,146
131.00,135.00,138
97.00,136.00,132
150.00,103.00,121
89.00,114.00,127
125.00,95.00,149
158.00,119.00,131
137.00,102.00,127
111.00,102.00,129
88.00,137.00,130
138.00,106.00,125
76.00,126.00,135
145.00,127.00,147
153.00,130.00,140
149.00,103.00,129
148.00,107.00,138
149.00,105.00,121
105.00,101.00,125
86.00,114.00,134
142.00,101.00,126
107.00,101.00,133
77.00,127.00,125
92.00,113.00,130
117.00,98.00,142
158.00,125.00,132
142.00,107.00,125
100.00,107.00,125
84.00,129.00,137
121.00,102.00,129
94.00,136.00,143
158.00,115.00,144
159.00,113.00,128
156.00,112.00,128
109.00,106.00,142
121.00,139.00,134
114.00,140.00,137
109.00,138.00,146
152.00,129.00,142
156.00,121.00,141
137.00,132.00,144
155.00,126.00,134
142.00,102.00,140
152.00,109.00,131
123.00,97.00,138
118.00,139.00,144
109.00,137.00,130
86.00,118.00,134
133.00,101.00,124
120.00,101.00,129
125.00,102.00,121
102.00,108.00,125
129.00,101.00,122
116.00,101.00,125
115.00,102.00,133
78.00,127.00,147
147.00,128.00,146
156.00,122.00,125
85.00,117.00,144
157.00,106.00,144
157.00,123.00,144
126.00,138.00,140
157.00,112.00,146
148.00,128.00,142
160.00,111.00,141
158.00,117.00,146
120.00,137.00,139
104.00,133.00,122
89.00,107.00,131
130.00,104.00,134
154.00,110.00,128
150.00,105.00,137
147.00,132.00,143
109.00,134.00,138
86.00,138.00,125
98.00,103.00,144
156.00,116.00,129
116.00,96.00,145
110.00,135.00,141
159.00,115.00,135
124.00,101.00,127
118.00,101.00,125
103.00,97.00,131
117.00,100.00,126
86.00,111.00,144
154.00,108.00,131
111.00,102.00,125
97.00,103.00,146
150.00,129.00,143
158.00,117.00,134
156.00,112.00,140
158.00,114.00,121
83.00,117.00,147
159.00,124.00,144
154.00,124.00,142
158.00,113.00,139
158.00,119.00,143
128.00,135.00,145
158.00,123.00,143
107.00,137.00,147
127.00,132.00,144
151.00,128.00,144
104.00,134.00,137
77.00,122.00,144
159.00,123.00,140
143.00,99.00,142
87.00,134.00,132
124.00,100.00,124
85.00,109.00,140
115.00,142.00,147
154.00,120.00,133
127.00,96.00,145
157.00,111.00,135
149.00,99.00,146
159.00,121.00,140
158.00,123.00,139
158.00,125.00,144
138.00,135.00,148
150.00,130.00,142
158.00,115.00,135
157.00,116.00,142
158.00,120.00,146
117.00,140.00,143
115.00,137.00,134
76.00,122.00,137
136.00,100.00,135
138.00,100.00,127
115.00,99.00,140
153.00,114.00,130
123.00,102.00,129
105.00,104.00,125
80.00,116.00,141
134.00,100.00,130
122.00,100.00,125
108.00,101.00,124
111.00,101.00,129
122.00,99.00,140
125.00,135.00,148
133.00,133.00,148
156.00,127.00,146
145.00,129.00,144
154.00,113.00,129
137.00,100.00,125
125.00,96.00,146
158.00,120.00,145
159.00,116.00,145
155.00,128.00,139
157.00,113.00,146
145.00,134.00,142
134.00,136.00,149
137.00,136.00,143
145.00,132.00,148
156.00,119.00,144
157.00,124.00,148
153.00,132.00,142
158.00,119.00,143
143.00,128.00,144
139.00,135.00,144
146.00,133.00,147
154.00,127.00,145
158.00,116.00,144
141.00,136.00,135
93.00,131.00,138
154.00,109.00,142
153.00,126.00,145
148.00,130.00,147
153.00,128.00,144
132.00,138.00,145
153.00,126.00,141
149.00,105.00,137
157.00,112.00,138
146.00,106.00,144
154.00,112.00,140
140.00,100.00,130
97.00,108.00,142
147.00,111.00,138
142.00,109.00,138
158.00,112.00,138
143.00,98.00,147
140.00,132.00,145
102.00,137.00,128
78.00,122.00,133
138.00,101.00,127
82.00,114.00,144
158.00,123.00,144
120.00,137.00,144
159.00,119.00,145
151.00,128.00,143
144.00,130.00,147
157.00,115.00,137
153.00,108.00,140
155.00,127.00,145
133.00,131.00,147
127.00,138.00,144
89.00,135.00,137
154.00,112.00,129
110.00,98.00,142
154.00,100.00,136
146.00,106.00,129
143.00,99.00,146
157.00,133.00,145
160.00,118.00,127
121.00,102.00,129
115.00,102.00,127
84.00,135.00,131
124.00,97.00,148
145.00,131.00,142
156.00,119.00,145
144.00,133.00,144
127.00,135.00,147
128.00,133.00,139
84.00,137.00,144
148.00,129.00,146
143.00,129.00,145
147.00,134.00,142
159.00,113.00,132
135.00,102.00,126
142.00,101.00,130
141.00,105.00,128
143.00,105.00,134
157.00,120.00,147
149.00,125.00,145
159.00,113.00,140
149.00,114.00,144
153.00,109.00,140
158.00,114.00,147
154.00,121.00,145
151.00,134.00,145
158.00,112.00,147
154.00,128.00,133
144.00,101.00,139
154.00,103.00,140
158.00,115.00,145
152.00,110.00,144
141.00,99.00,142
127.00,135.00,146
137.00,134.00,141
90.00,133.00,125
98.00,108.00,140
122.00,136.00,143
156.00,107.00,134
149.00,101.00,123
96.00,111.00,145
156.00,115.00,143
148.00,129.00,147
141.00,137.00,145
157.00,129.00,145
132.00,135.00,146
106.00,139.00,143
101.00,137.00,141
85.00,133.00,125
94.00,111.00,136
