current,x,y,z,dBx_dx,dBy_dy,dBz_dz
2.0,-0.005,0.01,0.3,9.909146027876033e-06,9.65405542125826e-06,-1.9564384104402494e-05
2.0,0.0,-0.01,0.3,9.964302845067664e-06,1.0056114974372003e-05,-2.0021659718719656e-05
2.0,0.0,-0.005,0.3,9.948339837618258e-06,1.0007614001597725e-05,-1.9957187312268478e-05
2.0,0.0,0.0,0.3,9.919167150460839e-06,9.919167150460852e-06,-1.9839552455366936e-05
2.0,0.0,0.005,0.3,9.876947465867773e-06,9.791598598206613e-06,-1.966974223275336e-05
2.0,0.0,0.01,0.3,9.821914869507628e-06,9.626089052622387e-06,-1.9449171758157528e-05
2.0,0.005,-0.01,0.3,9.835920113594103e-06,1.0013076757676094e-05,-1.985021644661236e-05
2.0,0.005,-0.005,0.3,9.820245224139019e-06,9.964865956738858e-06,-1.9786322449992332e-05
2.0,0.005,0.0,0.3,9.7915985982066e-06,9.876947465867773e-06,-1.966974223275336e-05
2.0,0.005,0.005,0.3,9.75013914700669e-06,9.75013914700669e-06,-1.9501452790090265e-05
2.0,0.005,0.01,0.3,9.696095543088577e-06,9.585612691208305e-06,-1.9282854801353547e-05
2.0,0.01,-0.01,0.3,9.669357746261454e-06,9.95697935560374e-06,-1.9627527908694193e-05
2.0,0.01,-0.005,0.3,9.654055421258312e-06,9.909146027876053e-06,-1.9564384104402494e-05
2.0,0.01,0.0,0.3,9.626089052622387e-06,9.821914869507682e-06,-1.9449171758157528e-05
2.0,0.01,0.005,0.3,9.585612691208305e-06,9.696095543088577e-06,-1.9282854801353547e-05
2.0,0.01,0.01,0.3,9.532848032527243e-06,9.532848032527243e-06,-1.9066815223325488e-05
4.0,-0.01,-0.01,0.3,2.0204254608649493e-05,2.0204254608649487e-05,-4.041104123591455e-05
4.0,-0.01,-0.005,0.3,2.0171708149537284e-05,2.0106631119066872e-05,-4.028085417557983e-05
4.0,-0.01,0.0,0.3,2.0112229948744013e-05,1.9928605690135355e-05,-4.004331943743931e-05
4.0,-0.01,0.005,0.3,2.002615351535219e-05,1.9671840227188155e-05,-3.970043289322472e-05
4.0,-0.01,0.01,0.3,1.991395871120747e-05,1.933871549252291e-05,-3.9255055817388386e-05
4.0,-0.005,-0.01,0.3,2.0106631119066872e-05,2.017170814953727e-05,-4.028085417557983e-05
4.0,-0.005,-0.005,0.3,2.007430461138783e-05,2.0074304611387866e-05,-4.015110711008447e-05
4.0,-0.005,0.0,0.3,2.001522800319545e-05,1.9896679675236517e-05,-3.9914374624536956e-05
4.0,-0.005,0.005,0.3,1.992973191347778e-05,1.964049044827796e-05,-3.9572644899984665e-05
4.0,-0.005,0.01,0.3,1.9818292055752065e-05,1.930811084251652e-05,-3.912876820880499e-05
4.0,0.0,-0.01,0.3,1.9928605690135328e-05,2.0112229948744006e-05,-4.004331943743931e-05
4.0,0.0,-0.005,0.3,1.9896679675236517e-05,2.001522800319545e-05,-3.9914374624536956e-05
4.0,0.0,0.0,0.3,1.9838334300921677e-05,1.9838334300921705e-05,-3.967910491073387e-05
4.0,0.0,0.005,0.3,1.9753894931735545e-05,1.9583197196413226e-05,-3.933948446550672e-05
4.0,0.0,0.01,0.3,1.9643829739015256e-05,1.9252178105244774e-05,-3.8898343516315056e-05
4.0,0.005,-0.01,0.3,1.9671840227188205e-05,2.002615351535219e-05,-3.970043289322472e-05
4.0,0.005,-0.005,0.3,1.9640490448278037e-05,1.9929731913477716e-05,-3.9572644899984665e-05
4.0,0.005,0.0,0.3,1.95831971964132e-05,1.9753894931735545e-05,-3.933948446550672e-05
4.0,0.005,0.005,0.3,1.950027829401338e-05,1.950027829401338e-05,-3.900290558018053e-05
4.0,0.005,0.01,0.3,1.9392191086177155e-05,1.917122538241661e-05,-3.8565709602707094e-05
4.0,0.01,-0.01,0.3,1.933871549252291e-05,1.991395871120748e-05,-3.9255055817388386e-05
4.0,0.01,-0.005,0.3,1.9308110842516625e-05,1.9818292055752106e-05,-3.912876820880499e-05
4.0,0.01,0.0,0.3,1.9252178105244774e-05,1.9643829739015365e-05,-3.8898343516315056e-05
4.0,0.01,0.005,0.3,1.917122538241661e-05,1.9392191086177155e-05,-3.8565709602707094e-05
4.0,0.01,0.01,0.3,1.9065696065054487e-05,1.9065696065054487e-05,-3.8133630446650975e-05
6.0,-0.01,-0.01,0.3,3.0306381912974137e-05,3.0306381912974143e-05,-6.061656185386568e-05
6.0,-0.01,-0.005,0.3,3.0257562224305572e-05,3.0159946678600684e-05,-6.042128126337589e-05
6.0,-0.01,0.0,0.3,3.0168344923116378e-05,2.989290853520335e-05,-6.006497915615918e-05
6.0,-0.01,0.005,0.3,3.0039230273028268e-05,2.950776034078309e-05,-5.955064933984259e-05
6.0,-0.01,0.01,0.3,2.9870938066811255e-05,2.9008073238784694e-05,-5.888258372607834e-05
6.0,-0.005,-0.01,0.3,3.0159946678600684e-05,3.0257562224305552e-05,-6.042128126337589e-05
6.0,-0.005,-0.005,0.3,3.0111456917082292e-05,3.0111456917082343e-05,-6.022666066513221e-05
6.0,-0.005,0.0,0.3,3.0022842004793385e-05,2.984501951285513e-05,-5.987156193679908e-05
6.0,-0.005,0.005,0.3,2.9894597870216502e-05,2.9460735672416966e-05,-5.9358967349978905e-05
6.0,-0.005,0.01,0.3,2.972743808362817e-05,2.896216626377531e-05,-5.8693152313205785e-05
6.0,0.0,-0.01,0.3,2.989290853520335e-05,3.0168344923116344e-05,-6.006497915615918e-05
6.0,0.0,-0.005,0.3,2.984501951285513e-05,3.0022842004793385e-05,-5.987156193679908e-05
6.0,0.0,0.0,0.3,2.9757501451382384e-05,2.9757501451382384e-05,-5.95186573661078e-05
6.0,0.0,0.005,0.3,2.963084239760255e-05,2.9374795794620647e-05,-5.900922669826473e-05
6.0,0.0,0.01,0.3,2.9465744608522952e-05,2.8878267157866603e-05,-5.8347515274482745e-05
6.0,0.005,-0.01,0.3,2.9507760340783143e-05,3.0039230273028295e-05,-5.955064933984259e-05
6.0,0.005,-0.005,0.3,2.9460735672417017e-05,2.9894597870216434e-05,-5.9358967349978905e-05
6.0,0.005,0.0,0.3,2.9374795794620593e-05,2.9630842397602577e-05,-5.900922669826473e-05
6.0,0.005,0.005,0.3,2.9250417441020095e-05,2.9250417441020095e-05,-5.8504358370271434e-05
6.0,0.005,0.01,0.3,2.9088286629266315e-05,2.8756838073624916e-05,-5.7848564404049626e-05
6.0,0.01,-0.01,0.3,2.9008073238784694e-05,2.9870938066811275e-05,-5.888258372607834e-05
6.0,0.01,-0.005,0.3,2.896216626377531e-05,2.9727438083628264e-05,-5.8693152313205785e-05
6.0,0.01,0.0,0.3,2.8878267157866603e-05,2.946574460852298e-05,-5.8347515274482745e-05
6.0,0.01,0.005,0.3,2.8756838073624916e-05,2.908828662926621e-05,-5.7848564404049626e-05
6.0,0.01,0.01,0.3,2.859854409758316e-05,2.859854409758316e-05,-5.720044566996821e-05
8.0,-0.01,-0.01,0.3,4.040850921729899e-05,4.040850921729897e-05,-8.08220824718291e-05
8.0,-0.01,-0.005,0.3,4.034341629907457e-05,4.0213262238133744e-05,-8.056170835115966e-05
8.0,-0.01,0.0,0.3,4.0224459897488025e-05,3.985721138027071e-05,-8.008663887487862e-05
8.0,-0.01,0.005,0.3,4.005230703070438e-05,3.934368045437631e-05,-7.940086578644944e-05
8.0,-0.01,0.01,0.3,3.982791742241494e-05,3.867743098504582e-05,-7.851011163477677e-05
8.0,-0.005,-0.01,0.3,4.0213262238133744e-05,4.034341629907454e-05,-8.056170835115966e-05
8.0,-0.005,-0.005,0.3,4.014860922277566e-05,4.014860922277573e-05,-8.030221422016894e-05
8.0,-0.005,0.0,0.3,4.00304560063909e-05,3.979335935047303e-05,-7.982874924907391e-05
8.0,-0.005,0.005,0.3,3.985946382695556e-05,3.928098089655592e-05,-7.914528979996933e-05
8.0,-0.005,0.01,0.3,3.963658411150413e-05,3.861622168503304e-05,-7.825753641760998e-05
8.0,0.0,-0.01,0.3,3.9857211380270656e-05,4.022445989748801e-05,-8.008663887487862e-05
8.0,0.0,-0.005,0.3,3.979335935047303e-05,4.00304560063909e-05,-7.982874924907391e-05
8.0,0.0,0.0,0.3,3.9676668601843355e-05,3.967666860184341e-05,-7.935820982146774e-05
8.0,0.0,0.005,0.3,3.950778986347109e-05,3.916639439282645e-05,-7.867896893101343e-05
8.0,0.0,0.01,0.3,3.928765947803051e-05,3.850435621048955e-05,-7.779668703263011e-05
8.0,0.005,-0.01,0.3,3.934368045437641e-05,4.005230703070438e-05,-7.940086578644944e-05
8.0,0.005,-0.005,0.3,3.9280980896556074e-05,3.985946382695543e-05,-7.914528979996933e-05
8.0,0.005,0.0,0.3,3.91663943928264e-05,3.950778986347109e-05,-7.867896893101343e-05
8.0,0.005,0.005,0.3,3.900055658802676e-05,3.900055658802676e-05,-7.800581116036106e-05
8.0,0.005,0.01,0.3,3.878438217235431e-05,3.834245076483322e-05,-7.713141920541419e-05
8.0,0.01,-0.01,0.3,3.867743098504582e-05,3.982791742241496e-05,-7.851011163477677e-05
8.0,0.01,-0.005,0.3,3.861622168503325e-05,3.963658411150421e-05,-7.825753641760998e-05
8.0,0.01,0.0,0.3,3.850435621048955e-05,3.928765947803073e-05,-7.779668703263011e-05
8.0,0.01,0.005,0.3,3.834245076483322e-05,3.878438217235431e-05,-7.713141920541419e-05
8.0,0.01,0.01,0.3,3.8131392130108974e-05,3.8131392130108974e-05,-7.626726089330195e-05
10.0,-0.01,-0.01,0.3,5.05106365216237e-05,5.0510636521623715e-05,-0.00010102760308978531
10.0,-0.01,-0.005,0.3,5.042927037384259e-05,5.0266577797667875e-05,-0.00010070213543895572
10.0,-0.01,0.0,0.3,5.028057487186025e-05,4.982151422533865e-05,-0.00010010829859360612
10.0,-0.01,0.005,0.3,5.006538378838082e-05,4.9179600567971586e-05,-9.925108223306731e-05
10.0,-0.01,0.01,0.3,4.978489677801895e-05,4.834678873130678e-05,-9.813763954347054e-05
10.0,-0.005,-0.01,0.3,5.0266577797667875e-05,5.042927037384255e-05,-0.00010070213543895572
10.0,-0.005,-0.005,0.3,5.018576152847037e-05,5.0185761528470425e-05,-0.00010037776777520312
10.0,-0.005,0.0,0.3,5.003807000798848e-05,4.974169918809175e-05,-9.978593656133223e-05
10.0,-0.005,0.005,0.3,4.982432978369469e-05,4.910122612069551e-05,-9.893161224998814e-05
10.0,-0.005,0.01,0.3,4.9545730139380394e-05,4.8270277106290554e-05,-9.782192052199764e-05
10.0,0.0,-0.01,0.3,4.982151422533855e-05,5.0280574871860225e-05,-0.00010010829859360612
10.0,0.0,-0.005,0.3,4.974169918809175e-05,5.003807000798848e-05,-9.978593656133223e-05
10.0,0.0,0.0,0.3,4.9595835752304644e-05,4.95958357523047e-05,-9.919776227682304e-05
10.0,0.0,0.005,0.3,4.938473732933876e-05,4.895799299103221e-05,-9.834871116377187e-05
10.0,0.0,0.01,0.3,4.91095743475376e-05,4.8130445263113444e-05,-9.724585879079738e-05
10.0,0.005,-0.01,0.3,4.917960056797164e-05,5.006538378838086e-05,-9.925108223306731e-05
10.0,0.005,-0.005,0.3,4.910122612069561e-05,4.982432978369464e-05,-9.893161224998814e-05
10.0,0.005,0.0,0.3,4.89579929910321e-05,4.9384737329338705e-05,-9.834871116377187e-05
10.0,0.005,0.005,0.3,4.8750695735034795e-05,4.8750695735034795e-05,-9.750726395044052e-05
10.0,0.005,0.01,0.3,4.848047771544374e-05,4.792806345604343e-05,-9.641427400675968e-05
10.0,0.01,-0.01,0.3,4.834678873130678e-05,4.978489677801895e-05,-9.813763954347054e-05
10.0,0.01,-0.005,0.3,4.827027710629066e-05,4.954573013938042e-05,-9.782192052199764e-05
10.0,0.01,0.0,0.3,4.8130445263113444e-05,4.910957434753776e-05,-9.724585879079738e-05
10.0,0.01,0.005,0.3,4.792806345604343e-05,4.848047771544363e-05,-9.641427400675968e-05
10.0,0.01,0.01,0.3,4.766424016263728e-05,4.766424016263728e-05,-9.533407611663485e-05
